Sender_account,Date,Time,Amount,anomaly_score,fraud_probability,Is_laundering,Receiver_account,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location
2743924090,07-10-2022,12:28:26,3796.98,0.017377857,0.013205792,0,2027496484,UK pounds,UK pounds,UK,UK
9948105901,07-10-2022,13:34:20,275.44,0.008746256,0.009890263,0,8117312471,UK pounds,UK pounds,UK,UK
8456279067,07-10-2022,15:33:11,5622.71,0.008232132,0.005930346,0,8572828015,UK pounds,UK pounds,UK,UK
6988928906,07-10-2022,16:22:58,8659.55,0.04520779,0.007328191,0,6953672776,UK pounds,Mexican Peso,UK,Mexico
3407919855,07-10-2022,11:18:29,944.5,0.030107353,0.030020505,0,8953782028,UK pounds,UK pounds,UK,UK
ACC272025,11-05-2023,05:28:50,-1905.859504,0.274473632,0.9951198,1,ACC226249,UK pounds,Indian rupee,UK,Mexico
ACC940840,21-10-2023,09:18:21,8186.492476,0.612649713,0.9945227,1,ACC851825,UK pounds,US dollar,Japan,Nigeria
ACC389200,08-05-2022,12:41:16,7056.757917,0.08530715,0.99563557,1,ACC852452,UK pounds,UK pounds,UK,USA
8197072010,07-10-2022,16:08:59,736.82,0.029678059,0.009085286,0,9973502448,UK pounds,UK pounds,UK,UK
ACC373255,23-01-2022,10:13:07,-993.9826161,0.396360213,0.99294853,1,ACC441225,UK pounds,Indian rupee,UK,Nigeria
5201604365,07-10-2022,12:24:09,6446.64,0.006701874,0.01555643,0,5586245359,UK pounds,UK pounds,UK,UK
1290703625,07-10-2022,11:13:23,7205.61,0.037104204,0.03001287,0,7764825563,UK pounds,UK pounds,UK,UK
ACC390402,22-10-2022,10:47:12,-3175.778078,0.190760291,0.9849496,1,ACC867432,Yen,US dollar,UK,UK
ACC122211,17-01-2022,02:51:09,-2100.545988,0.433516721,0.99497765,1,ACC817853,UK pounds,UK pounds,UK,Nigeria
ACC612301,10-10-2022,09:20:04,-558.3365168,0.174041355,0.9891802,1,ACC242659,UK pounds,UK pounds,UK,India
ACC542942,28-07-2022,02:34:10,8907.437067,0.346879339,0.9960238,1,ACC677239,UK pounds,UK pounds,UK,UK
1300794618,07-10-2022,12:17:56,7803.02,0.390553479,0.016666133,0,2138505015,Euro,Dirham,France,UAE
8203229522,07-10-2022,10:53:24,4464.97,0.128126187,0.008785805,0,5254058209,UK pounds,Dirham,UK,UAE
8164143401,07-10-2022,13:19:44,4353.7,0.011695374,0.005125091,0,3605744818,UK pounds,UK pounds,UK,UK
ACC677083,25-09-2023,01:34:37,2721.667338,0.504077209,0.9956672,1,ACC958944,UK pounds,UK pounds,UK,Mexico
9754064584,07-10-2022,14:17:40,206.98,0.006521121,0.009807766,0,3781261703,UK pounds,UK pounds,UK,UK
525950594,07-10-2022,15:12:37,6136.33,0.009682383,0.004463604,0,409707192,UK pounds,UK pounds,UK,UK
8169244844,07-10-2022,14:27:35,129.2,0.015523168,0.012533614,0,1582341069,UK pounds,UK pounds,UK,UK
9603178079,07-10-2022,15:36:37,1698.4,0.01476767,0.005125091,0,8072646339,UK pounds,UK pounds,UK,UK
8237941067,07-10-2022,14:55:00,5910.99,0.028399993,0.004658967,0,9105769228,UK pounds,UK pounds,UK,UK
ACC499191,24-02-2022,05:28:03,-7227.352213,0.360389055,0.9960238,1,ACC205761,UK pounds,UK pounds,UK,UK
8898696157,07-10-2022,13:26:11,10169.13,0.045022278,0.005101374,0,6646502650,UK pounds,Euro,UK,France
ACC870434,23-11-2023,12:03:20,7245.401032,0.438445624,0.9890026,1,ACC526681,Yen,Indian rupee,UK,India
5570659532,07-10-2022,15:54:36,3263.56,0.015098274,0.00599221,0,3450817814,UK pounds,UK pounds,UK,UK
8794766352,07-10-2022,11:22:45,4580.72,0.00700765,0.006864538,0,5800246902,UK pounds,UK pounds,UK,UK
7758268667,07-10-2022,14:31:30,8390.96,0.00213862,0.0051613,0,7505089539,UK pounds,UK pounds,UK,UK
ACC458474,06-01-2023,18:38:31,857.4403604,0.387459588,0.99497837,1,ACC648484,UK pounds,US dollar,UK,UK
2072285984,07-10-2022,14:07:11,4573.51,0.026084994,0.012137755,0,3758422333,UK pounds,UK pounds,UK,UK
3554477131,07-10-2022,13:47:26,429.78,0.034592545,0.029528266,0,5022399765,UK pounds,UK pounds,UK,UK
ACC203016,26-09-2023,01:25:54,205.541608,0.407185147,0.9958662,1,ACC216936,UK pounds,UK pounds,UK,UK
832407541,07-10-2022,12:58:41,412.29,0.013424233,0.015409988,0,9603268691,UK pounds,UK pounds,UK,UK
9456514108,07-10-2022,13:51:48,8356.52,0.012031868,0.024704352,0,5109623450,UK pounds,UK pounds,UK,UK
8071021440,07-10-2022,16:15:10,5272.38,0.010573612,0.006864538,0,8944803275,UK pounds,UK pounds,UK,UK
6086421020,07-10-2022,15:08:31,6499.64,0.007894664,0.005240316,0,1695365423,UK pounds,UK pounds,UK,UK
2571475646,07-10-2022,15:58:42,6621.32,0.017690584,0.013205792,0,5948499072,UK pounds,UK pounds,UK,UK
ACC175521,05-05-2023,18:32:34,-4587.293632,0.239694683,0.9948257,1,ACC507917,UK pounds,Naira,UK,UK
6904169843,07-10-2022,14:10:44,6190.52,0.003538713,0.004775875,0,4270865741,UK pounds,UK pounds,UK,UK
5711826554,07-10-2022,15:00:10,12216.45,0.004875337,0.006864538,0,8063440965,UK pounds,UK pounds,UK,UK
6834477393,07-10-2022,11:19:11,8138.3,0.011695173,0.004462909,0,6444220418,UK pounds,UK pounds,UK,UK
5632388235,07-10-2022,12:55:02,1660.23,0.022135524,0.00599221,0,8290285433,UK pounds,UK pounds,UK,UK
ACC423651,18-03-2022,18:20:01,3992.715805,0.239597281,0.9950127,1,ACC751383,UK pounds,Naira,UK,UK
ACC971169,29-09-2022,04:21:29,8506.663264,0.349939913,0.98264635,1,ACC747975,UK pounds,UK pounds,UK,Nigeria
ACC201703,10-02-2022,23:29:12,17989.59798,0.271552259,0.9958335,1,ACC251792,UK pounds,US dollar,UK,UK
6904668523,07-10-2022,14:16:43,5052.04,0.002975781,0.0051613,0,3087234008,UK pounds,UK pounds,UK,UK
7905085108,07-10-2022,11:46:29,488.28,0.008023531,0.012454093,0,8232618500,UK pounds,UK pounds,UK,UK
7837354873,07-10-2022,10:42:16,7944.21,0.037514087,0.005101374,0,2534644942,UK pounds,Euro,UK,France
4712930207,07-10-2022,11:58:48,13619.6,0.017573134,0.004802258,0,1493436023,UK pounds,UK pounds,UK,UK
ACC867015,03-03-2022,05:18:50,9809.97236,0.225623255,0.9923104,1,ACC966573,UK pounds,UK pounds,UK,UK
7758268667,07-10-2022,14:21:38,6706.35,0.008191859,0.005646099,0,4313894778,UK pounds,UK pounds,UK,UK
6404844146,07-10-2022,11:00:07,6732.39,0.259323215,0.01407591,0,5628674969,Euro,UK pounds,UK,UK
6057444675,07-10-2022,11:40:46,18498.13,0.01015954,0.009543547,0,1845194308,UK pounds,UK pounds,UK,UK
ACC460644,12-04-2023,05:23:51,7825.585774,0.31298633,0.99531245,1,ACC361793,UK pounds,US dollar,UK,UK
4659909437,07-10-2022,12:16:03,10710.16,0.018696988,0.004658967,0,1465487567,UK pounds,UK pounds,UK,UK
6086421020,07-10-2022,11:26:25,6259.99,0.011247051,0.005521653,0,6624920676,UK pounds,UK pounds,UK,UK
6904668523,07-10-2022,16:53:23,9170.18,0.018537901,0.005646099,0,3540529623,UK pounds,UK pounds,UK,UK
2299676190,07-10-2022,14:29:42,5900.99,0.018276992,0.005101374,0,2534644942,UK pounds,Euro,UK,France
ACC192003,24-07-2023,21:08:33,4432.022025,0.327726575,0.9958918,1,ACC721669,UK pounds,UK pounds,UK,UK
9222757302,07-10-2022,11:38:02,9164.62,0.021188702,0.004463604,0,5109623450,UK pounds,UK pounds,UK,UK
ACC182986,14-01-2022,00:44:30,-4834.798743,0.429289534,0.9960238,1,ACC818337,UK pounds,UK pounds,UK,UK
ACC359226,09-06-2022,20:27:05,8964.984521,0.180761494,0.98849994,1,ACC714444,UK pounds,Mexican Peso,UK,Nigeria
3709430533,07-10-2022,15:09:36,7948.17,0.011245799,0.005646099,0,3402269996,UK pounds,UK pounds,UK,UK
ACC197288,23-05-2022,13:36:17,-4367.693326,0.214302348,0.99563557,1,ACC369265,UK pounds,UK pounds,UK,USA
ACC150403,19-01-2023,18:25:58,10068.95452,0.571760523,0.9958181,1,ACC660949,UK pounds,UK pounds,UK,India
ACC655946,02-12-2023,23:02:11,9709.708033,0.257008648,0.9958918,1,ACC549049,UK pounds,UK pounds,UK,UK
1655245537,07-10-2022,12:16:10,3544.21,0.01205182,0.006746293,0,6303054928,UK pounds,UK pounds,UK,UK
7618340734,07-10-2022,12:53:33,1483.17,0.027240303,0.031100128,0,7129601367,UK pounds,UK pounds,UK,UK
ACC613403,15-09-2023,00:09:05,17626.65697,0.42703099,0.9948719,1,ACC797913,UK pounds,Mexican Peso,UK,India
2365007895,07-10-2022,16:46:25,9131.91,0.014871332,0.005646099,0,5745861775,UK pounds,UK pounds,UK,UK
6562248766,07-10-2022,11:24:15,20038.85,0.018232309,0.00459632,0,6444220418,UK pounds,UK pounds,UK,UK
6351828759,07-10-2022,12:48:50,86.76,0.00892375,0.009890263,0,1517549620,UK pounds,UK pounds,UK,UK
ACC983218,22-04-2023,23:28:38,-2808.489952,0.794185313,0.9908025,1,ACC626620,UK pounds,Indian rupee,Japan,USA
7657581112,07-10-2022,13:40:11,2563.1,0.004807505,0.011766742,0,876106783,UK pounds,UK pounds,UK,UK
9746384104,07-10-2022,11:44:11,4994.55,0.010519211,0.005240316,0,8939055432,UK pounds,UK pounds,UK,UK
5251674452,07-10-2022,11:37:25,4328.62,0.013612928,0.017025586,0,622243973,UK pounds,UK pounds,UK,UK
ACC487138,22-08-2022,21:03:11,3044.220285,0.206742229,0.9960238,1,ACC216537,UK pounds,UK pounds,UK,UK
6485870030,07-10-2022,11:08:59,979.83,0.025698636,0.005436372,0,6051541355,UK pounds,UK pounds,UK,UK
ACC898546,10-11-2022,04:13:19,5926.756971,0.404052589,0.9953471,1,ACC361204,UK pounds,UK pounds,Japan,USA
4028253688,07-10-2022,11:29:12,10465.13,0.010675801,0.014735606,0,8527745568,UK pounds,UK pounds,UK,UK
675669049,07-10-2022,11:26:05,9719,0.019315395,0.0051613,0,9462027504,UK pounds,UK pounds,UK,UK
7669236826,07-10-2022,14:46:49,4624.91,0.019674171,0.005240316,0,2685958910,UK pounds,UK pounds,UK,UK
5894860557,07-10-2022,14:14:02,1898.98,0.030142048,0.005436372,0,8180668777,UK pounds,UK pounds,UK,UK
8389148416,07-10-2022,13:34:46,23539.45,0.04066704,0.006021518,0,7489694854,UK pounds,Euro,UK,Italy
617867590,07-10-2022,16:33:08,4761.51,0.01330447,0.00599221,0,8953275727,UK pounds,UK pounds,UK,UK
ACC510610,24-05-2022,20:10:23,1037.635299,0.276215573,0.9950127,1,ACC996064,UK pounds,Naira,UK,UK
942349529,07-10-2022,12:56:51,6911.18,0.012553417,0.004802258,0,8518184956,UK pounds,UK pounds,UK,UK
6541552727,07-10-2022,16:37:10,6179.4,0.009278643,0.005240316,0,5240847125,UK pounds,UK pounds,UK,UK
6541552727,07-10-2022,10:41:03,6193.99,0.01590056,0.004463604,0,5240847125,UK pounds,UK pounds,UK,UK
ACC141201,28-02-2022,17:15:04,12589.68866,0.381944803,0.9960238,1,ACC416521,UK pounds,UK pounds,UK,UK
ACC684073,24-03-2023,14:40:24,-6188.794934,0.442861464,0.9955646,1,ACC225863,UK pounds,Naira,UK,UK
5778456633,07-10-2022,14:32:21,5659.43,0.010734952,0.01383336,0,7690305620,UK pounds,UK pounds,UK,UK
3238526156,07-10-2022,13:37:20,21334.53,0.019579676,0.004462909,0,1465487567,UK pounds,UK pounds,UK,UK
1352768610,07-10-2022,14:11:03,17347.35,0.005959978,0.00778582,0,5636542108,UK pounds,UK pounds,UK,UK
9529928225,07-10-2022,16:51:51,6467.07,0.01612695,0.004462909,0,4173195094,UK pounds,UK pounds,UK,UK
4215909084,07-10-2022,15:20:54,6868.56,0.007720245,0.011766742,0,6477531416,UK pounds,UK pounds,UK,UK
ACC987802,12-02-2022,05:36:57,3002.96428,0.282112041,0.9960238,1,ACC304718,UK pounds,UK pounds,UK,UK
ACC667150,22-10-2023,06:31:49,592.9004108,0.261000901,0.9958942,1,ACC355747,UK pounds,US dollar,UK,UK
581778780,07-10-2022,14:08:39,5303.52,0.029259024,0.004463604,0,5466123934,UK pounds,UK pounds,UK,UK
7998453354,07-10-2022,10:41:40,836.76,0.010381583,0.013205792,0,9600841582,UK pounds,UK pounds,UK,UK
3412872591,07-10-2022,15:41:38,830.93,0.021801176,0.031326935,0,1872940381,UK pounds,UK pounds,UK,UK
8883997544,07-10-2022,16:02:52,8529.84,0.014408613,0.004802258,0,1465487567,UK pounds,UK pounds,UK,UK
6063481781,07-10-2022,13:09:12,3849.64,0.037917766,0.027984489,0,7984016799,UK pounds,UK pounds,UK,UK
ACC292331,25-10-2022,19:19:53,991.3495399,0.202685144,0.68447775,1,ACC484979,UK pounds,UK pounds,UK,UK
ACC277583,13-06-2022,17:21:11,11472.379,0.136057989,0.9876579,1,ACC815349,UK pounds,Mexican Peso,UK,Mexico
3359035819,07-10-2022,15:07:08,17758.16,0.036153595,0.01716538,0,4193525220,UK pounds,UK pounds,UK,UK
ACC863015,24-09-2022,16:08:29,6388.308869,0.187364796,0.9898893,1,ACC913991,UK pounds,UK pounds,UK,Nigeria
6743376113,07-10-2022,14:09:49,25963.82,0.023108732,0.004462909,0,621060264,UK pounds,UK pounds,UK,UK
ACC355598,30-05-2023,02:22:09,13476.01721,0.582192704,0.9960343,1,ACC555816,UK pounds,UK pounds,UK,Mexico
5411794037,07-10-2022,16:11:17,7297.74,0.046911045,0.004658967,0,8352571580,UK pounds,UK pounds,UK,UK
9168588789,07-10-2022,13:21:33,8340.56,0.007319951,0.008485239,0,4889197724,UK pounds,UK pounds,UK,UK
60687612,07-10-2022,16:01:40,2619.79,0.018381533,0.005731273,0,9061085693,UK pounds,UK pounds,UK,UK
ACC112899,15-03-2023,01:02:08,171.0251121,0.514477365,0.9949883,1,ACC920611,UK pounds,Naira,UK,UK
ACC350717,01-10-2022,07:11:49,-3753.636077,0.085673897,0.026847675,1,ACC802000,UK pounds,UK pounds,UK,UK
5038354427,07-10-2022,11:42:06,2339.68,0.030989264,0.00599221,0,436157946,UK pounds,UK pounds,UK,UK
9254992785,07-10-2022,14:01:17,7579.78,0.028344412,0.018514382,0,6661043129,UK pounds,UK pounds,UK,UK
ACC586895,30-06-2022,16:13:21,-3631.497032,0.394138597,0.99229443,1,ACC387808,UK pounds,UK pounds,UK,Mexico
9308866687,07-10-2022,15:20:55,8308.34,0.016686854,0.005731273,0,4638001513,UK pounds,UK pounds,UK,UK
850156764,07-10-2022,11:48:23,9477.67,0.004159427,0.006864538,0,7698046407,UK pounds,UK pounds,UK,UK
9051006413,07-10-2022,13:36:33,9704.66,0.005853255,0.004463604,0,8352571580,UK pounds,UK pounds,UK,UK
1953699846,07-10-2022,16:03:52,2056.24,0.116128089,0.009938112,0,5064807660,UK pounds,Euro,UK,Spain
425487738,07-10-2022,15:45:39,1698.4,0.015288782,0.031775832,0,3049600084,UK pounds,UK pounds,UK,UK
5350299715,07-10-2022,15:32:44,3609.46,0.01258948,0.016669659,0,1723202617,UK pounds,UK pounds,UK,UK
116079665,07-10-2022,16:04:40,21402.76,0.026599107,0.013903528,0,3917693537,UK pounds,UK pounds,UK,UK
9491559382,07-10-2022,15:07:41,5939.95,0.016503384,0.050845392,0,5030330249,UK pounds,UK pounds,UK,UK
9051006413,07-10-2022,14:09:41,9844.82,0.010851308,0.0052134,0,8352571580,UK pounds,UK pounds,UK,UK
8818313824,07-10-2022,12:57:46,202.83,0.013498169,0.005125091,0,8981466749,UK pounds,UK pounds,UK,UK
93642419,07-10-2022,14:18:51,1526.43,0.008962826,0.006864538,0,80643448,UK pounds,UK pounds,UK,UK
ACC938051,12-01-2023,04:55:51,-3384.382996,0.461792136,0.9958918,1,ACC586107,UK pounds,UK pounds,UK,UK
749315581,07-10-2022,16:13:34,8485.23,0.009243163,0.004462909,0,8673917867,UK pounds,UK pounds,UK,UK
9383641510,07-10-2022,14:19:14,1948.84,0.025881883,0.017546508,0,7248352467,US dollar,UK pounds,UK,UK
ACC829777,11-04-2023,22:46:55,-500.2675578,0.389729697,0.9951316,1,ACC851895,UK pounds,UK pounds,UK,Mexico
ACC641041,07-11-2023,21:29:53,9850.724715,0.329393126,0.9952354,1,ACC746779,Yen,US dollar,UK,USA
9746384104,07-10-2022,16:05:40,5119.83,0.015205873,0.00589816,0,8107460466,UK pounds,UK pounds,UK,UK
5395048723,07-10-2022,11:16:45,287.62,0.013236357,0.009890963,0,3013629202,UK pounds,UK pounds,UK,UK
ACC187742,11-06-2022,05:32:06,-6567.23871,0.140484141,0.9955584,1,ACC478332,UK pounds,US dollar,UK,UK
ACC699017,29-08-2023,21:57:15,14838.15803,0.418412938,0.9958942,1,ACC237805,UK pounds,UK pounds,UK,UK
ACC342916,24-03-2023,02:15:47,1980.765951,0.489697222,0.9937143,1,ACC284665,UK pounds,UK pounds,UK,UK
ACC414708,05-02-2022,01:05:31,-730.6846994,0.488878017,0.9958436,1,ACC620549,UK pounds,Indian rupee,UK,UK
ACC628588,08-01-2022,02:31:10,6413.941939,0.406603621,0.9946386,1,ACC399070,UK pounds,UK pounds,UK,Mexico
7096762618,07-10-2022,13:38:22,5109.04,0.010111131,0.004463604,0,5628674969,UK pounds,UK pounds,UK,UK
ACC640945,02-12-2022,13:48:39,10486.76882,0.080110563,0.9694212,1,ACC366829,UK pounds,Naira,UK,UK
ACC122563,06-02-2022,21:04:50,-6131.38967,0.409967388,0.99525464,1,ACC847871,UK pounds,Indian rupee,UK,USA
ACC672304,18-08-2022,11:31:41,-3282.729656,0.078863708,0.9960238,1,ACC450681,UK pounds,UK pounds,UK,UK
ACC427707,16-09-2022,12:54:28,4307.242681,0.152675743,0.99463,1,ACC637559,UK pounds,Indian rupee,UK,UK
9971840652,07-10-2022,11:40:19,12.63,0.006914795,0.012533614,0,228160503,UK pounds,UK pounds,UK,UK
858117066,07-10-2022,13:34:38,2409.05,0.013621431,0.012137755,0,2582035398,UK pounds,UK pounds,UK,UK
8764119560,07-10-2022,14:23:43,6877.58,0.018606139,0.03063668,0,5740296498,UK pounds,UK pounds,UK,UK
7421451752,07-10-2022,14:15:01,11906.32,0.009515082,0.005638443,0,6790400322,UK pounds,UK pounds,UK,UK
4718828209,07-10-2022,15:06:18,2839.27,0.034058626,0.015409988,0,5218559868,UK pounds,UK pounds,UK,UK
260029339,07-10-2022,16:32:23,4348.62,0.019188155,0.016609393,0,2786133090,UK pounds,UK pounds,UK,UK
9572437179,07-10-2022,15:07:08,6639.26,0.010455335,0.004802258,0,7199625988,UK pounds,UK pounds,UK,UK
7501327339,07-10-2022,14:12:46,5336.58,0.005243489,0.005638443,0,2477870427,UK pounds,UK pounds,UK,UK
4223708607,07-10-2022,11:06:21,10425.35,0.027047279,0.004658967,0,6444220418,UK pounds,UK pounds,UK,UK
ACC101702,05-08-2022,02:19:15,71.55534571,0.204606719,0.9909237,1,ACC945688,UK pounds,UK pounds,UK,Nigeria
6141403326,07-10-2022,13:49:04,4992.99,0.027768901,0.011408079,0,5103043844,UK pounds,Naira,UK,Nigeria
2422360624,07-10-2022,10:38:36,2407.26,0.011146124,0.017010072,0,1908962398,UK pounds,UK pounds,UK,UK
8319450654,07-10-2022,15:11:16,8750.77,0.015658508,0.004983719,0,8132533239,UK pounds,UK pounds,UK,UK
1915450576,07-10-2022,13:04:32,6247.75,0.007501474,0.0051613,0,6338941383,UK pounds,UK pounds,UK,UK
ACC116251,02-12-2023,23:26:16,6884.422255,0.264365797,0.9957644,1,ACC803290,UK pounds,UK pounds,UK,UK
